ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
2511,SC,Thread Isolation,SC-39.02.01.01,The information system defines multi-threaded processing for which a separate execution domain is to be maintained for each thread in multi-threaded processing.,Read Control Step Content
2512,SC,Thread Isolation,SC-39.02.02.01,The information system maintains a separate execution domain for each thread in organization-defined multi-threaded processing.,Read Control Step Content
2513,SC,Wireless Link Protection ,SC-40.00.01.01,The organization defines internal wireless links to be protected from particular types of signal parameter attacks.,Read Control Step Content
2514,SC,Wireless Link Protection ,SC-40.00.01.02,The organization defines external wireless links to be protected from particular types of signal parameter attacks.,Read Control Step Content
2515,SC,Wireless Link Protection ,SC-40.00.02.01,The organization defines types of signal parameter attacks or references to sources for such attacks that are based upon exploiting the signal parameters of organization-defined internal and external wireless links.,Read Control Step Content
2516,SC,Wireless Link Protection ,SC-40.00.03.01,The information system protects internal and external organization-defined wireless links from organization-defined types of signal parameter attacks or references to sources for such attacks.,Read Control Step Content
2517,SC,Electromagnetic Interference,SC-40.01.01.01,The organization defines level of protection to be employed against the effects of intentional electromagnetic interference.,Read Control Step Content
2518,SC,Electromagnetic Interference,SC-40.01.02.01,The information system employs cryptographic mechanisms that achieve organization-defined level of protection against the effects of intentional electromagnetic interference.,Read Control Step Content
2519,SC,Reduce Detection Potential,SC-40.02.01.01,The organization defines level of reduction to be achieved to reduce the detection potential of wireless links.,Read Control Step Content
2520,SC,Reduce Detection Potential,SC-40.02.02.01,The information system implements cryptographic mechanisms to reduce the detection potential of wireless links to organization-defined level of reduction.,Read Control Step Content
2521,SC,Imitative or Manipulative Communications Deception,SC-40.03.01.01,The information system implements cryptographic mechanisms to identify wireless transmissions that are deliberate attempts to achieve imitative or manipulative communications deception based on signal parameters.,Read Control Step Content
2522,SC,Imitative or Manipulative Communications Deception,SC-40.03.02.01,The information system implements cryptographic mechanisms to reject wireless transmissions that are deliberate attempts to achieve imitative or manipulative communications deception based on signal parameters.,Read Control Step Content
2523,SC,Signal Parameter Identification,SC-40.04.01.01,The organization defines wireless transmitters for which cryptographic mechanisms are to be implemented to prevent identification of such transmitters by using the transmitter signal parameters.,Read Control Step Content
2524,SC,Signal Parameter Identification,SC-40.04.02.01,The information system implements cryptographic mechanisms to prevent the identification of organization-defined wireless transmitters by using the transmitter signal parameters.,Read Control Step Content
2525,SC,Port and I/O Device Access,SC-41.00.01.01,The organization defines connection ports or input/output devices to be physically disabled or removed on information systems or information system components.,Read Control Step Content
2526,SC,Port and I/O Device Access,SC-41.00.02.01,The organization defines information systems or information system components with organization-defined connection ports or input/output devices that are to be physically disabled or removed.,Read Control Step Content
2527,SC,Port and I/O Device Access,SC-41.00.03.01,The organization physically disables or removes organization-defined connection ports or input/output devices on organization-defined information systems or information system components.,Read Control Step Content
2528,SC,Sensor Capability and Data,SC-42.00.01.01,The organization defines exceptions where remote activation of sensors is to be allowed.,Read Control Step Content
2529,SC,Sensor Capability and Data,SC-42.00.01.02,"The information system prohibits the remote activation of sensors, except for organization-defined exceptions where remote activation of sensors is to be allowed.",Read Control Step Content
2530,SC,Sensor Capability and Data,SC-42.00.02.01,The organization defines the class of users to whom an explicit indication of sensor use is to be provided.,Read Control Step Content
2531,SC,Sensor Capability and Data,SC-42.00.02.02,The information system provides an explicit indication of sensor use to the organization-defined class of users.,Read Control Step Content
2532,SC,Reporting to Authorized Individuals or Roles,SC-42.01.01.01,The organization defines sensors to be used to collect data or information only reported to authorized individuals or roles.,Read Control Step Content
2533,SC,Reporting to Authorized Individuals or Roles,SC-42.01.02.01,The organization ensures that the information system is configured so that data or information collected by the organization-defined sensors is only reported to authorized individuals or roles.,Read Control Step Content
2534,SC,Authorized Use,SC-42.02.01.01,The organization defines measures to be employed so that data or information collected by sensors is only used for authorized purposes.,Read Control Step Content
2535,SC,Authorized Use,SC-42.02.02.01,The organization defines sensors to be used to collect data or information for authorized purposes only.,Read Control Step Content
2536,SC,Authorized Use,SC-42.02.03.01,The organization employs organization-defined measures so that data or information collected by organization-defined sensors is only used for authorized purposes.,Read Control Step Content
2537,SC,Prohibit Use of Devices,SC-42.03.01.01,"The organization defines environmental sensing capabilities to be prohibited from use in facilities, areas, or systems.",Read Control Step Content
2538,SC,Prohibit Use of Devices,SC-42.03.02.01,"The organization defines facilities, areas, or systems where the use of devices possessing organization-defined environmental sensing capabilities is to be prohibited.",Read Control Step Content
2539,SC,Prohibit Use of Devices,SC-42.03.03.01,"The organization prohibits the use of devices possessing organization-defined environmental sensing capabilities in organization-defined facilities, areas, or systems.",Read Control Step Content
2540,SC,Usage Restrictions,SC-43.00.01.01,The organization defines information system components for which usage restrictions and implementation guidance are to be established.,Read Control Step Content
2541,SC,Usage Restrictions,SC-43.00.01.02,"The organization establishes, for organization-defined information system components:
1) usage restrictions based on the potential to cause damage to the information system if used maliciously
2) implementation guidance based on the potential to cause damage to the information system if used maliciously",Read Control Step Content
2542,SC,Usage Restrictions,SC-43.00.02.01,The organization authorizes the use of such components within the information system.,Read Control Step Content
2543,SC,Usage Restrictions,SC-43.00.02.02,The organization monitors the use of such components within the information system.,Read Control Step Content
2544,SC,Usage Restrictions,SC-43.00.02.03,The organization controls the use of such components within the information system.,Read Control Step Content
2545,SC,Detonation Chambers,SC-44.00.01.01,"The organization defines information system, system component, or location where a detonation chamber capability is to be employed.",Read Control Step Content
2546,SC,Detonation Chambers,SC-44.00.02.01,"The organization employs a detonation chamber capability within organization-defined information system, system component, or location.",Read Control Step Content
2547,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.01,"The organization develops and documents a system and information integrity policy that addresses: 
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities.
7) compliance",Read Control Step Content
2548,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.02,The organization defines personnel or roles to whom the system and information integrity policy is to be disseminated as Program Offices/System Owners.,Read Control Step Content
2549,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.03,The organization disseminates the system and information integrity policy to Program Offices/System Owners.,Read Control Step Content
2550,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls. ,Read Control Step Content
2551,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as the Program Office/System Owners.,Read Control Step Content
2552,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.03,The organization disseminates the procedures to Program Office/System Owners.,Read Control Step Content
2553,SI,System and Information Integrity Policy and Procedures ,SI-01.00.03.01,"The organization defines the frequency to review and update the current system and information integrity policy as at least annually and as needed, respectively.",Read Control Step Content
2554,SI,System and Information Integrity Policy and Procedures ,SI-01.00.03.02,"The organization reviews and updates the current system and information integrity policy at least annually and as needed, respectively.",Read Control Step Content
2555,SI,System and Information Integrity Policy and Procedures ,SI-01.00.04.01,"The organization defines the frequency to review and update the current system and information integrity procedures as at least annually and as needed, respectively.",Read Control Step Content
2556,SI,System and Information Integrity Policy and Procedures ,SI-01.00.04.02,"The organization reviews and updates the current system and information integrity procedures at least annually and as needed, respectively.",Read Control Step Content
2557,SI,Flaw Remediation,SI-02.00.01.01,The organization identifies information system flaws.,Read Control Step Content
2558,SI,Flaw Remediation,SI-02.00.01.02,The organization reports information system flaws.,Read Control Step Content
2559,SI,Flaw Remediation,SI-02.00.01.03,The organization corrects information system flaws.,Read Control Step Content
2560,SI,Flaw Remediation,SI-02.00.02.01,The organization tests software updates related to flaw remediation for effectiveness and potential side effects before installation. ,Read Control Step Content
2561,SI,Flaw Remediation,SI-02.00.02.02,The organization tests firmware updates related to flaw remediation for effectiveness and potential side effects before installation.,Read Control Step Content
2562,SI,Flaw Remediation,SI-02.00.03.01,The organization defines the time period within which to install security-relevant software updates after the release of the updates in accordance with the IT Security Scanning Policy.,Read Control Step Content
2563,SI,Flaw Remediation,SI-02.00.03.02,The organization defines the time period within which to install security-relevant firmware updates after the release of the updates in accordance with the IT Security Scanning Policy.,Read Control Step Content
2564,SI,Flaw Remediation,SI-02.00.03.03,The organization installs software updates in accordance with the IT Security Scanning Policy of the release of the updates.,Read Control Step Content
2565,SI,Flaw Remediation,SI-02.00.03.04,The organization installs firmware updates in accordance with the IT Security Scanning Policy of the release of the updates.,Read Control Step Content
2566,SI,Flaw Remediation,SI-02.00.04.01,The organization incorporates flaw remediation into the organizational configuration management process.,Read Control Step Content
2567,SI,Central Management,SI-02.01.01.01,The organization centrally manages the flaw remediation process.,Read Control Step Content
2568,SI,Automated Flaw Remediation Status,SI-02.02.01.01,The organization defines a frequency to employ automated mechanisms to determine the state of information system components with regard to flaw remediation as periodically and upon demand.,Read Control Step Content
2569,SI,Automated Flaw Remediation Status,SI-02.02.02.01,The organization employs automated mechanisms periodically and upon demand to determine the state of information system components with regard to flaw remediation.,Read Control Step Content
2570,SI,Time to Remediate Flaws / Benchmarks for Correction Actions,SI-02.03.01.01,The organization measures the time between flaw identification and flaw remediation.,Read Control Step Content
2571,SI,Time to Remediate Flaws / Benchmarks for Correction Actions,SI-02.03.02.01,The organization defines benchmarks for taking corrective actions.,Read Control Step Content
2572,SI,Time to Remediate Flaws / Benchmarks for Correction Actions,SI-02.03.02.02,The organization establishes organization-defined benchmarks for taking corrective actions.,Read Control Step Content
2573,SI,Automatic Software/ Firmware Updates,SI-02.05.01.01,The organization defines information system components requiring security-relevant software updates to be automatically installed.,Read Control Step Content
2574,SI,Automatic Software/ Firmware Updates,SI-02.05.01.02,The organization defines information system components requiring security-relevant firmware updates to be automatically installed.,Read Control Step Content
2575,SI,Automatic Software/ Firmware Updates,SI-02.05.02.01,The organization defines security-relevant software updates to be automatically installed to organization-defined information system components.,Read Control Step Content
2576,SI,Automatic Software/ Firmware Updates,SI-02.05.02.02,The organization defines security-relevant firmware updates to be automatically installed to organization-defined information system components.,Read Control Step Content
2577,SI,Automatic Software/ Firmware Updates,SI-02.05.03.01,The organization installs organization-defined security-relevant software updates automatically to organization-defined information system components.,Read Control Step Content
2578,SI,Automatic Software/ Firmware Updates,SI-02.05.03.02,The organization installs organization-defined security-relevant firmware updates automatically to organization-defined information system components.,Read Control Step Content
2579,SI,Removal of Previous Versions of Software / Firmware,SI-02.06.01.01,The organization defines software components to be removed after updated versions have been installed.,Read Control Step Content
2580,SI,Removal of Previous Versions of Software / Firmware,SI-02.06.01.02,The organization defines firmware components to be removed after updated versions have been installed.,Read Control Step Content
2581,SI,Removal of Previous Versions of Software / Firmware,SI-02.06.02.01,The organization removes organization-defined software components after updated versions have been installed.,Read Control Step Content
2582,SI,Removal of Previous Versions of Software / Firmware,SI-02.06.02.02,The organization removes organization-defined firmware components after updated versions have been installed.,Read Control Step Content
2583,SI,Malicious Code Protection,SI-03.00.01.01,"The organization employs malicious code protection mechanisms to detect and eradicate malicious code at information system: entry points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code:
1. Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means. or
2. Inserted through the exploitation of information system vulnerabilities",Read Control Step Content
2584,SI,Malicious Code Protection,SI-03.00.01.02,"The organization employs malicious code protection mechanisms to detect and eradicate malicious code at information system: exit points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code:
1. Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means. or
2. Inserted through the exploitation of information system vulnerabilities",Read Control Step Content
2585,SI,Malicious Code Protection,SI-03.00.02.01,The organization updates malicious code protection mechanisms whenever new releases are available in accordance with  Agency configuration management policy and procedures (as identified in CM-01.00.01.01 to CM-01.00.03.02).,Read Control Step Content
2586,SI,Malicious Code Protection,SI-03.00.03.01,The organization defines a frequency for malicious code protection mechanisms to perform periodic scans of the information system as weekly.,Read Control Step Content
2587,SI,Malicious Code Protection,SI-03.00.03.02,"The organization defines action to be initiated by malicious protection mechanisms in response to malicious code detection:
1) Block malicious code
2) Quarantine malicious code and/or
3) Send alert to administrator",Read Control Step Content
2588,SI,Malicious Code Protection,SI-03.00.03.03,"The organization configures malicious code protection mechanisms to:
1) perform periodic scans of the information system on a weekly basis
2) perform real-time scans of files from external sources at endpoint as endpoints as the files are downloaded, opened, or executed in accordance with  Agency security policy.",Read Control Step Content
2589,SI,Malicious Code Protection,SI-03.00.03.04,"The organization configures malicious code protection mechanisms to do one or more of the following:
1) block malicious code in response to malicious code detection
2) quarantine malicious code in response to malicious code detection
3) send alert to administrator in response to malicious code detection",Read Control Step Content
2590,SI,Malicious Code Protection,SI-03.00.04.01,The organization addresses the receipt of false positives during malicious code detection and eradication.,Read Control Step Content
2591,SI,Malicious Code Protection,SI-03.00.04.02,The organization addresses the resulting potential impact on the availability of the information system.,Read Control Step Content
2592,SI,Central Management,SI-03.01.01.01,The organization centrally manages malicious code protection mechanisms.,Read Control Step Content
2593,SI,Automatic Updates,SI-03.02.01.01,The information system automatically updates malicious code protection mechanisms.,Read Control Step Content
2594,SI,Updates Only by Privileged Users,SI-03.04.01.01,The information system updates malicious code protection mechanisms only when directed by a privileged user.,Read Control Step Content
2595,SI,Testing/Verification,SI-03.06.01.01,The organization defines a frequency to test malicious code protection mechanisms.,Read Control Step Content
2596,SI,Testing/Verification,SI-03.06.01.02,"The organization tests malicious code protection mechanisms with the organization-defined frequency by introducing a known benign, non-spreading test case into the information system.",Read Control Step Content
2597,SI,Testing/Verification,SI-03.06.02.01,The organization verifies that detection of the test case occurs.,Read Control Step Content
2598,SI,Testing/Verification,SI-03.06.02.02,The organization verifies that associated incident reporting occurs.,Read Control Step Content
2599,SI,Non-Signature Based Detection,SI-03.07.01.01,The information system implements non signature-based malicious code detection mechanisms.,Read Control Step Content
2600,SI,Detect Unauthorized Commands,SI-03.08.01.01,The organization defines unauthorized operating system commands to be detected by the information system.,Read Control Step Content
2601,SI,Detect Unauthorized Commands,SI-03.08.02.01,The organization defines information system hardware components for which organization-defined unauthorized operating system commands are to be detected through the kernel application programming interface.,Read Control Step Content
2602,SI,Detect Unauthorized Commands,SI-03.08.03.01,"The information system detects organization-defined unauthorized operating system commands through the kernel application programming interface at organization-defined information system hardware components, and does one or more of the following: Issue a warning",Read Control Step Content
2603,SI,Detect Unauthorized Commands,SI-03.08.03.02,"The information system detects organization-defined unauthorized operating system commands through the kernel application programming interface at organization-defined information system hardware components, and does one or more of the following: audits the command execution",Read Control Step Content
2604,SI,Detect Unauthorized Commands,SI-03.08.03.03,"The information system detects organization-defined unauthorized operating system commands through the kernel application programming interface at organization-defined information system hardware components, and does one or more of the following: prevents the execution of the command",Read Control Step Content
2605,SI,Authenticate Remote Commands,SI-03.09.01.01,The organization defines security safeguards to be implemented by the information system to authenticate organization-defined remote commands.,Read Control Step Content
2606,SI,Authenticate Remote Commands,SI-03.09.02.01,The organization defines remote commands to be authenticated by organization-defined security safeguards.,Read Control Step Content
2607,SI,Authenticate Remote Commands,SI-03.09.03.01,The information system implements organization-defined security safeguards to authenticate organization-defined remote commands.,Read Control Step Content
2608,SI,Malicious Code Analysis,SI-03.10.01.01,The organization defines tools and techniques to be employed to analyze the characteristics and behavior of malicious code.,Read Control Step Content
2609,SI,Malicious Code Analysis,SI-03.10.01.02,The organization employs organization-defined tools and techniques to analyze the characteristics and behavior of malicious code.,Read Control Step Content
2610,SI,Malicious Code Analysis,SI-03.10.02.01,The organization incorporates the results from malicious code analysis into incident response and flaw remediate processes.,Read Control Step Content
2611,SI,Information System Monitoring Tools and Techniques,SI-04.00.01.01,"The organization: 
1) defines monitoring objectives to detect attacks and indicators of potential attacks on the information system using a network-based intrusion detection system (IDS) and system-level IDS (where applicable).
2) monitors the information system to detect, in accordance with organization-defined monitoring objectives:
  a) attacks
  b) indicators of potential attacks",Read Control Step Content
2612,SI,Information System Monitoring Tools and Techniques,SI-04.00.01.02,"The organization monitors the information system to detect unauthorized:
1) local connections
2) network connections
3) remote connections",Read Control Step Content
2613,SI,Information System Monitoring Tools and Techniques,SI-04.00.02.01,"The organization defines techniques and methods to identify unauthorized use of the information system through observing audit activities, reviewing logs, or by observing other system aspects such as access patterns, characteristics of access, etc.",Read Control Step Content
2614,SI,Information System Monitoring Tools and Techniques,SI-04.00.02.02,"The organization identifies unauthorized use of the information system through observing audit activities, reviewing logs, or by observing other system aspects such as access patterns, characteristics of access, etc.",Read Control Step Content
2615,SI,Information System Monitoring Tools and Techniques,SI-04.00.03.01,The organization deploys monitoring devices strategically within the information system to collect organization-determined essential information.,Read Control Step Content
2616,SI,Information System Monitoring Tools and Techniques,SI-04.00.03.02,The organization deploys monitoring devices at ad hoc locations within the system to track specific types of transactions of interest to the  Agency.,Read Control Step Content
2617,SI,Information System Monitoring Tools and Techniques,SI-04.00.04.01,The organization protects information obtained from intrusion-monitoring tools from unauthorized access.,Read Control Step Content
2618,SI,Information System Monitoring Tools and Techniques,SI-04.00.04.02,The organization protects information obtained from intrusion-monitoring tools from unauthorized modification.,Read Control Step Content
2619,SI,Information System Monitoring Tools and Techniques,SI-04.00.04.03,The organization protects information obtained from intrusion-monitoring tools from unauthorized deletion.,Read Control Step Content
2620,SI,Information System Monitoring Tools and Techniques,SI-04.00.05.01,"The organization heightens the level of information system monitoring activity whenever there is an indication of increased risk to organizational operations and assets, individuals, other organizations, or the Nation based on law enforcement information, intelligence information, or other credible sources of information.",Read Control Step Content
2621,SI,Information System Monitoring Tools and Techniques,SI-04.00.06.01,"The organization obtains legal opinion with regard to information system monitoring activities in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations.",Read Control Step Content
2622,SI,Information System Monitoring Tools and Techniques,SI-04.00.07.01,The organization defines personnel or roles to whom information system monitoring information is to be provided as designated  Agency personnel.,Read Control Step Content
2623,SI,Information System Monitoring Tools and Techniques,SI-04.00.07.02,The organization defines information system monitoring information to be provided to designated  Agency personnel.,Read Control Step Content
2624,SI,Information System Monitoring Tools and Techniques,SI-04.00.07.03,The organization defines a frequency to provide organization-defined information system monitoring to designated  Agency personnel as needed.,Read Control Step Content
2625,SI,Information System Monitoring Tools and Techniques,SI-04.00.07.04,The organization provides information system monitoring information to designated  Agency personnel as needed.,Read Control Step Content
2626,SI,System-Wide Intrusion Detection System,SI-04.01.01.01,The organization connects individual intrusion detection tools into an information system-wide intrusion detection system.,Read Control Step Content
2627,SI,System-Wide Intrusion Detection System,SI-04.01.02.01,The organization configures individual intrusion detection tools into an information system-wide intrusion detection system.,Read Control Step Content
2628,SI,Automated Tools for Real-Time Analysis,SI-04.02.01.01,The organization employs automated tools to support near real-time analysis of events.,Read Control Step Content
2629,SI,Automated Tool Integration,SI-04.03.01.01,"The organization, for rapid response to attacks by enabling reconfiguration of intrusion detection tools in support of attack isolation and elimination, employs automated tools to integrate intrusion detection tools into access control mechanisms.",Read Control Step Content
2630,SI,Automated Tool Integration,SI-04.03.02.01,"The organization, for rapid response to attacks by enabling reconfiguration of intrusion detection tools in support of attack isolation and elimination, employs automated tools to integrate intrusion detection tools into flow control mechanisms.",Read Control Step Content
2631,SI,Inbound and Outbound Communications Traffic,SI-04.04.01.01,The organization defines a frequency to monitor inbound communications traffic for unusual or unauthorized activities or conditions as in near-real time.,Read Control Step Content
2632,SI,Inbound and Outbound Communications Traffic,SI-04.04.01.02,The organization defines a frequency to monitor outbound communications traffic for unusual or unauthorized activities or conditions as in near real-time.,Read Control Step Content
2633,SI,Inbound and Outbound Communications Traffic,SI-04.04.02.01,The organization monitors in near real-time inbound communications traffic for unusual or unauthorized activities or conditions.,Read Control Step Content
2634,SI,Inbound and Outbound Communications Traffic,SI-04.04.02.02,The organization monitors in near real-time outbound communications traffic for unusual or unauthorized activities or conditions.,Read Control Step Content
2635,SI,System-Generated Alerts,SI-04.05.01.01,"The organization defines compromise indicators for the information system as follows: 
1) Failed log on attempts (>3 attempts or with account lockout)
2) Security Policy Changes
3) Audit Logs Cleared
4) Username or Password Changes",Read Control Step Content
2636,SI,System-Generated Alerts,SI-04.05.02.01,The organization defines personnel or roles to be alerted when indications of compromise or potential compromise occur as designated  Agency Personnel.,Read Control Step Content
2637,SI,System-Generated Alerts,SI-04.05.03.01,"The information system alerts designated  Agency Personnel when:
1) Failed log on attempts (>3 attempts or with account lockout)
2) Security Policy Changes
3) Audit Logs Cleared",Read Control Step Content
2638,SI,Automated Response to Suspicious Events,SI-04.07.01.01,The organization defines incident response personnel (identified by name and/or by role) to be notified of detected suspicious events.,Read Control Step Content
2639,SI,Automated Response to Suspicious Events,SI-04.07.02.01,The organization defines least-disruptive actions to be taken by the information system to terminate suspicious events.,Read Control Step Content
2640,SI,Automated Response to Suspicious Events,SI-04.07.03.01,The information system notifies organization-defined incident response personnel of detected suspicious events.,Read Control Step Content
2641,SI,Automated Response to Suspicious Events,SI-04.07.04.01,The information system takes organization-defined least-disruptive actions to terminate suspicious events.,Read Control Step Content
2642,SI,Testing of Monitoring Tools,SI-04.09.01.01,The organization defines a frequency to test intrusion-monitoring tools.,Read Control Step Content
2643,SI,Testing of Monitoring Tools,SI-04.09.02.01,The organization tests intrusion-monitoring tools with the organization-defined frequency.,Read Control Step Content
2644,SI,Visibility of Encrypted Communications,SI-04.10.01.01,The organization defines encrypted communications traffic required to be visible to information system monitoring tools.,Read Control Step Content
2645,SI,Visibility of Encrypted Communications,SI-04.10.02.01,The organization defines information system monitoring tools to be provided access to organization-defined encrypted communications traffic.,Read Control Step Content
2646,SI,Visibility of Encrypted Communications,SI-04.10.03.01,The organization makes provisions so that organization-defined encrypted communications traffic is visible to organization-defined information system monitoring tools..,Read Control Step Content
2647,SI,Analyze Communications Traffic Anomalies,SI-04.11.01.01,"The organization defines interior points within the system (e.g., subnetworks, subsystems) where communications traffic is to be analyzed.",Read Control Step Content
2648,SI,Analyze Communications Traffic Anomalies,SI-04.11.02.01,The organization analyzes outbound communications traffic to discover anomalies at the external boundary of the information system.,Read Control Step Content
2649,SI,Analyze Communications Traffic Anomalies,SI-04.11.02.02,The organization analyzes outbound communications traffic to discover anomalies at selected organization-defined interior points within the system.,Read Control Step Content
2650,SI,Automated Alerts,SI-04.12.01.01,The organization defines activities that trigger alerts to security personnel based on inappropriate or unusual activities with security implications.,Read Control Step Content
2651,SI,Automated Alerts,SI-04.12.02.01,The organization employs automated mechanisms to alert security personnel of organization-defined activities that trigger alerts based on inappropriate or unusual activities with security implications.,Read Control Step Content
2652,SI,Analyze Traffic/Event Patterns,SI-04.13.01.01,The organization analyzes communications traffic/event patterns for the information system.,Read Control Step Content
2653,SI,Analyze Traffic/Event Patterns,SI-04.13.02.01,The organization develops profiles representing common traffic patterns and/or events.,Read Control Step Content
2654,SI,Analyze Traffic/Event Patterns,SI-04.13.03.01,The organization uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives and false negatives.,Read Control Step Content
2655,SI,Wireless Intrusion Detection,SI-04.14.01.01,The organization employs a wireless intrusion detection system to identify rogue wireless devices.,Read Control Step Content
2656,SI,Wireless Intrusion Detection,SI-04.14.02.01,The organization employs a wireless intrusion detection system to detect attack attempts to the information system.,Read Control Step Content
2657,SI,Wireless Intrusion Detection,SI-04.14.03.01,The organization employs a wireless intrusion detection system to detect potential compromises/breaches to the information system.,Read Control Step Content
2658,SI,Wireless to Wireline Communications,SI-04.15.01.01,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks.,Read Control Step Content
2659,SI,Correlate Monitoring Information,SI-04.16.01.01,The organization correlates information from monitoring tools employed throughout the information system.,Read Control Step Content
2660,SI,Integrated Situational Awareness,SI-04.17.01.01,"The organization, to achieve integrated, organization-wide situational awareness, correlates information from monitoring physical activities.",Read Control Step Content
2661,SI,Integrated Situational Awareness,SI-04.17.02.01,"The organization, to achieve integrated, organization-wide situational awareness, correlates information from monitoring cyber activities.",Read Control Step Content
2662,SI,Integrated Situational Awareness,SI-04.17.03.01,"The organization, to achieve integrated, organization-wide situational awareness, correlates information from monitoring supply chain activities.",Read Control Step Content
2663,SI,Analyze Traffic/Covert Exfiltration,SI-04.18.01.01,"The organization defines interior points within the system (e.g., subsystems, subnetworks) where communications traffic is to be analyzed.",Read Control Step Content
2664,SI,Analyze Traffic/Covert Exfiltration,SI-04.18.02.01,"The organization to detect covert exfiltration of information, analyzes outbound communications traffic at the external boundary of the information system (i.e., system perimeter).",Read Control Step Content
2665,SI,Analyze Traffic/Covert Exfiltration,SI-04.18.02.02,"The organization to detect covert exfiltration of information, analyzes outbound communications traffic at organization-defined interior points within the system.",Read Control Step Content
2666,SI,Individuals Posing Greater Risk,SI-04.19.01.01,The organization defines sources that identify individuals who pose an increased level of risk.,Read Control Step Content
2667,SI,Individuals Posing Greater Risk,SI-04.19.02.01,The organization defines additional monitoring to be implemented on individuals who have been identified by organization-defined sources as posing an increased level of risk.,Read Control Step Content
2668,SI,Individuals Posing Greater Risk,SI-04.19.03.01,The organization implements organization-defined additional monitoring of individuals who have been identified by organization-defined sources as posing an increased level of risk.,Read Control Step Content
2669,SI,Privileged Users,SI-04.20.01.01,The organization defines additional monitoring to be implemented on privileged users.,Read Control Step Content
2670,SI,Privileged Users,SI-04.20.02.01,The organization implements organization-defined additional monitoring of privileged users.,Read Control Step Content
2671,SI,Probationary Periods,SI-04.21.01.01,The organization defines additional monitoring to be implemented on individuals during probationary periods.,Read Control Step Content
2672,SI,Probationary Periods,SI-04.21.02.01,The organization defines probationary period during which organization-defined additional monitoring of individuals is to be performed.,Read Control Step Content
2673,SI,Probationary Periods,SI-04.21.03.01,The organization implements organization-defined additional monitoring of individuals during organization-defined probationary period.,Read Control Step Content
2674,SI,Unauthorized Network Services,SI-04.22.01.01,The organization defines authorization or approval processes for network services.,Read Control Step Content
2675,SI,Unauthorized Network Services,SI-04.22.02.01,The organization defines personnel or roles to be alerted upon detection of network services that have not been authorized or approved by organization-defined authorization or approval processes.,Read Control Step Content
2676,SI,Unauthorized Network Services,SI-04.22.03.01,The information system detects network services that have not been authorized or approved by organization-defined authorization or approval processes and does one or more of the following: audits.,Read Control Step Content
2677,SI,Unauthorized Network Services,SI-04.22.03.02,The information system detects network services that have not been authorized or approved by organization-defined authorization or approval processes and does one or more of the following: alerts organization-defined personnel or roles.,Read Control Step Content
2678,SI,Host-Based Devices,SI-04.23.01.01,The organization defines host-based monitoring mechanisms to be implemented.,Read Control Step Content
2679,SI,Host-Based Devices,SI-04.23.02.01,The organization defines information system components where organization-defined host-based monitoring is to be implemented.,Read Control Step Content
2680,SI,Host-Based Devices,SI-04.23.03.01,The organization implements organization-defined host-based monitoring mechanisms at organization-defined information system components.,Read Control Step Content
2681,SI,Indicators of Compromise,SI-04.24.01.01,The information system discovers indicators of compromise.,Read Control Step Content
2682,SI,Indicators of Compromise,SI-04.24.02.01,The information system collects indicators of compromise.,Read Control Step Content
2683,SI,Indicators of Compromise,SI-04.24.03.01,The information system distributes indicators of compromise.,Read Control Step Content
2684,SI,Indicators of Compromise,SI-04.24.04.01,The information system uses indicators of compromise.,Read Control Step Content
2685,SI,Information System Monitoring / Criteria,SI-04.25.01.01,"The requires the OUs to protect all external access points using network-based intrusion detect system (IDS)/prevention system, and all publicly accessible servers using host-based IDS in place and functioning.",Read Control Step Content
2686,SI,Security Alerts and Advisories,SI-05.00.01.01,"The organization defines external organizations from whom information system security alerts, advisories and directives are to be received as external organizations, and internal  Agency organizations such as the Office of Information Security.",Read Control Step Content
2687,SI,Security Alerts and Advisories,SI-05.00.01.02,"The organization receives information system security alerts, advisories, and directives from external organizations, and internal  Agency organizations such as the Office of Information Security on an ongoing basis.",Read Control Step Content
2688,SI,Security Alerts and Advisories,SI-05.00.02.01,"The organization generates internal security alerts, advisories, and directives as deemed necessary. ",Read Control Step Content
