ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
1089,SA,Functions/Ports/Protocols/Services in Use,SA-04.09.03.01,"The organization requires the developer of the information system, system component, or information system service to identify early in the system development life cycle the protocols intended for organizational use in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02."
1090,SA,Functions/Ports/Protocols/Services in Use,SA-04.09.04.01,"The organization requires the developer of the information system, system component, or information system service to identify early in the system development life cycle the services intended for organizational use in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02."
1091,SA,Use of Approved PIV-Products,SA-04.10.01.01,The organization employs only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational information systems.
1092,SA,Information System Documentation,SA-05.00.01.01,"The organization obtains administrator documentation for the information system, system component, or information system service that describes: 
1) Secure configuration of the system, system component, or service
2) Secure installation of the system, system component, or service
3) Secure operation of the system, system component, or service"
1093,SA,Information System Documentation,SA-05.00.01.02,"The organization obtains administrator documentation for the information system, system component, or information system service that describes: 
1) Effective use of the security features/mechanisms
2) Effective maintenance of the security features/mechanisms"
1094,SA,Information System Documentation,SA-05.00.01.03,"The organization obtains administrator documentation for the information system, system component, or information system service that describes known vulnerabilities regarding configuration and use of administrative (i.e., privileged) functions."
1095,SA,Information System Documentation,SA-05.00.02.01,"The organization obtains user documentation for the information system, system component, or information system service that describes: 
1) User-accessible security functions/mechanisms.
2) How to effectively use those functions/mechanisms"
1096,SA,Information System Documentation,SA-05.00.02.02,"The organization obtains user documentation for the information system, system component, or information system service that describes methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner."
1097,SA,Information System Documentation,SA-05.00.02.03,"The organization obtains user documentation for the information system, system component, or information system service that describes user responsibilities in maintaining the security of the system, component, or service."
1098,SA,Information System Documentation,SA-05.00.03.01,"The organization defines actions to be taken after documented attempts to obtain information system, system component, or information system service documentation when such documentation is either unavailable or nonexistent as documenting in the system security plan to ensure the Contracting Officer is notified. Such attempts may be escalated to the CIO as appropriate."
1099,SA,Information System Documentation,SA-05.00.03.02,"The organization documents attempts to obtain information system, system component, or information system service documentation when such documentation is either unavailable or nonexistent in the system security plan."
1100,SA,Information System Documentation,SA-05.00.03.03,The organization documents in the system security plan when such documentation is either unavailable or nonexistent and ensure the Contracting Officer and System Owner is notified in response. Such attempts may be escalated to the CIO as appropriate.
1101,SA,Information System Documentation,SA-05.00.04.01,"The organization protects documentation as required, in accordance with the risk management strategy."
1102,SA,Information System Documentation,SA-05.00.05.01,"The organization defines personnel or roles to whom documentation is to be distributed as System Administrators, System Owners, ISSO, and users, as appropriate."
1103,SA,Information System Documentation,SA-05.00.05.02,"The organization distributes documentation to System Administrators, System Owners, ISSO, and users, as appropriate."
1104,SA,Security Engineering Principles,SA-08.00.01.01,The organization applies information system security engineering principles in the specification of the information system.
1105,SA,Security Engineering Principles,SA-08.00.02.01,The organization applies information system security engineering principles in the design of the information system.
1106,SA,Security Engineering Principles,SA-08.00.03.01,The organization applies information system security engineering principles in the development of the information system.
1107,SA,Security Engineering Principles,SA-08.00.04.01,The organization applies information system security engineering principles in the implementation of the information system.
1108,SA,Security Engineering Principles,SA-08.00.05.01,The organization applies information system security engineering principles in the modification of the information system.
1109,SA,External Information System Services,SA-09.00.01.01,The organization defines security controls to be employed by providers of external information system services as adequate security controls commensurate to the information’s risk level.
1110,SA,External Information System Services,SA-09.00.01.02,"The organization requires that providers of external information system services comply with organizational information security requirements in accordance with FedRAMP and other applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance."
1111,SA,External Information System Services,SA-09.00.01.03,"The organization requires that providers of external information system services employ organizational information security requirements and adequate security controls commensurate to the information’s risk level in accordance with FedRAMP and other applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance."
1112,SA,External Information System Services,SA-09.00.02.01,The organization defines and documents government oversight with regard to external information system services.
1113,SA,External Information System Services,SA-09.00.02.02,The organization defines and documents user roles and responsibilities with regard to external information system services.
1114,SA,External Information System Services,SA-09.00.03.01,"The organization defines processes, methods, and techniques to be employed to monitor security control compliance by external service providers as FedRAMP processes, methods, and techniques for cloud services."
1115,SA,External Information System Services,SA-09.00.03.02,"The organization employs FedRAMP processes, methods, and techniques for cloud services to monitor security control compliance by external service providers on an ongoing basis."
1116,SA,Risk Assessments / Organization Approvals,SA-09.01.01.01,The organization conducts an organizational assessment of risk prior to the acquisition or outsourcing of dedicated information security services.
1117,SA,Risk Assessments / Organization Approvals,SA-09.01.02.01,The organization defines personnel or roles designated to approve the acquisition or outsourcing of dedicated information security services as the Chief Information Officer.
1118,SA,Risk Assessments / Organization Approvals,SA-09.01.02.02,The organization ensures that the acquisition or outsourcing of dedicated information security services is approved by the Chief Information Officer.
1119,SA,Identification of Functions / Ports / Protocols / Services,SA-09.02.01.01,"The organization defines external information system services for which providers of such services are to identify the functions, ports, protocols, and other services required for the use of such services as cloud information system services."
1120,SA,Identification of Functions / Ports / Protocols / Services,SA-09.02.02.01,The organization requires providers of cloud information system services to identify the functions required for the use of such services in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02.
1121,SA,Identification of Functions / Ports / Protocols / Services,SA-09.02.02.02,The organization requires providers of cloud information system services to identify the ports required for the use of such services in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02.
1122,SA,Identification of Functions / Ports / Protocols / Services,SA-09.02.02.03,The organization requires providers of cloud information system services to identify the protocols required for the use of such services in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02.
1123,SA,Identification of Functions / Ports / Protocols / Services,SA-09.02.02.04,The organization requires providers of cloud information system services to identify the other services required for the use of such services in compliance with restrictions documented in CM-07.00.01.01 to CM-07.00.02.02.
1124,SA,"Processing, Storage, and Service Location",SA-09.05.01.01,The organization defines locations of information/data are to be restricted as authorized locations.
1125,SA,"Processing, Storage, and Service Location",SA-09.05.02.01,The organization defines requirements or conditions to restrict the location information/data is restricted only to authorized locations.
1126,SA,"Processing, Storage, and Service Location",SA-09.05.03.02,The organization restricts the location of one or more of the following to information/data locations based on information/data being restricted only to authorized locations: information/data.
1127,SA,"External Information System Services, DOC Criteria",SA-09.06.01.01,"The overall responsibility and accountability for securing the information and information systems remains with the DOC. Therefore, the DOC requires the OUs to ensure that third-party providers of information system services employ adequate security controls in accordance with DOC ITSPP. The DOC also requires the OUs to monitor external information system security control compliance."
1128,SA,Developer Configuration Management,SA-10.00.01.01,"The organization requires the developer of the information system, system component, or information system service to perform configuration management during one or more of the following: system, component, or service design. "
1129,SA,Developer Configuration Management,SA-10.00.01.02,"The organization requires the developer of the information system, system component, or information system service to perform configuration management during one or more of the following: system, component, or service development. "
1130,SA,Developer Configuration Management,SA-10.00.01.03,"The organization requires the developer of the information system, system component, or information system service to perform configuration management during one or more of the following: system, component, or service implementation. "
1131,SA,Developer Configuration Management,SA-10.00.01.04,"The organization requires the developer of the information system, system component, or information system service to perform configuration management during one or more of the following: system, component, or service operation. "
1132,SA,Developer Configuration Management,SA-10.00.02.01,"The organization defines configuration items to be placed under configuration management as those affecting information system, component, or services."
1133,SA,Developer Configuration Management,SA-10.00.02.02,"The organization requires the developer of the information system, system component, or information system service to:
1) document the integrity of changes to information system, component, or services under configuration management
2) manage the integrity of changes to information system, component, or services under configuration management
3) control the integrity of changes to information system, component, or services under configuration management"
1134,SA,Developer Configuration Management,SA-10.00.03.01,"The organization requires the developer of the information system, system component, or information system service to implement only organization-approved changes to the system, component, or service."
1135,SA,Developer Configuration Management,SA-10.00.04.01,"The organization requires the developer of the information system, system component, or information system service to document approved changes to the system, component, or service."
1136,SA,Developer Configuration Management,SA-10.00.04.02,"The organization requires the developer of the information system, system component, or information system service to document the potential security impacts of such changes."
1137,SA,Developer Configuration Management,SA-10.00.05.01,"The organization defines personnel to whom findings, resulting from security flaws and flaw resolution tracked within the system, component, or service, are to be reported as Office of Information Security, ISSO, and System Owner."
1138,SA,Developer Configuration Management,SA-10.00.05.02,"The organization requires the developer of the information system, system component, or information system service to, in accordance with IT Security Scanning Policy:
1) track security flaws within the system, component, or service.
2) track security flaw resolution within the system, component, or service
3) report findings to Office of Information Security, ISSO, and System Owner"
1139,SA,Developer Security Testing and Evaluation,SA-11.00.01.01,"The organization requires the developer of the information system, system component, or information system service to create and implement a security plan."
1140,SA,Developer Security Testing and Evaluation,SA-11.00.02.01,"The organization defines the depth of testing/evaluation to be performed by the developer of the information system, system component, or information system service in accordance with the Enterprise SDLC template."
1141,SA,Developer Security Testing and Evaluation,SA-11.00.02.02,"The organization defines the coverage of testing/evaluation to be performed by the developer of the information system, system component, or information system service in accordance with the Enterprise SDLC template."
1142,SA,Developer Security Testing and Evaluation,SA-11.00.02.03,"The organization requires the developer of the information system, system component, or information system service to perform one or more of the following testing/evaluation in accordance with the Enterprise SDLC template:
1) unit testing/evaluation
2) integration testing/evaluation
3) system testing/evaluation
4) regression testing/evaluation"
1143,SA,Developer Security Testing and Evaluation,SA-11.00.03.01,"The organization requires the developer of the information system, system component, or information system service to produce evidence of the execution of the security assessment plan."
1144,SA,Developer Security Testing and Evaluation,SA-11.00.03.02,"The organization requires the developer of the information system, system component, or information system service to produce evidence of the results of the security testing/evaluation."
1145,SA,Developer Security Testing and Evaluation,SA-11.00.04.01,"The organization requires the developer of the information system, system component, or information system service to implement a verifiable flaw remediation process in accordance with the IT Scanning Policy."
1146,SA,Developer Security Testing and Evaluation,SA-11.00.05.01,"The organization requires the developer of the information system, system component, or information system service to correct flaws identified during security testing/evaluation in accordance with the IT Scanning Policy."
1147,SA,"Developer Security Testing, DOC Criteria",SA-11.09.01.01,Developmental security assessment results shall be used in support of the C&A process for information systems in accordance with the OUs system.
1148,SC,System and Communications Protection Policy and Procedures ,SC-01.00.01.01,"The organization develops and documents a system and communications protection policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities.
7) compliance"
1149,SC,System and Communications Protection Policy and Procedures ,SC-01.00.01.02,The organization defines personnel or roles to whom the system and communications protection policy is to be disseminated as Program Offices/System Owners. 
1150,SC,System and Communications Protection Policy and Procedures ,SC-01.00.01.03,The organization disseminates the system and communications protection policy to Program Offices/System Owners.
1151,SC,System and Communications Protection Policy and Procedures ,SC-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls. 
1152,SC,System and Communications Protection Policy and Procedures ,SC-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as the Program Office/System Owners.
1153,SC,System and Communications Protection Policy and Procedures ,SC-01.00.02.03,The organization disseminates the procedures to Program Office/System Owners.
1154,SC,System and Communications Protection Policy and Procedures ,SC-01.00.03.01,"The organization defines the frequency to review and update the current system and communications protection policy as at least annually and as needed, respectively. "
1155,SC,System and Communications Protection Policy and Procedures ,SC-01.00.03.02,"The organization reviews and updates the current system and communications protection policy at least annually and as needed, respectively. "
1156,SC,System and Communications Protection Policy and Procedures ,SC-01.00.04.01,"The organization defines the frequency to review and update the current system and communications protection procedures at least annually and as needed, respectively. "
1157,SC,System and Communications Protection Policy and Procedures ,SC-01.00.04.02,"The organization reviews and updates the current system and communications protection procedures at least annually and as needed, respectively."
1158,SC,Application Partitioning,SC-02.00.01.01,The information system separates user functionality (including user interface services) from information system management functionality.
1159,SC,Information in Shared Resources,SC-04.00.01.01,The information system prevents unauthorized and unintended information transfer via shared system resources.
1160,SC,Denial of Service Protection,SC-05.00.01.01,"The organization defines types of denial of service attacks or reference to source of such information for the information system to protect against or limit the effects as:
1) Hardware, software, or communications failures
2) Lack of communication bandwidth of web sites or internal networks. and
3) Directed malicious attacks originating internally or externally to the networks"
1161,SC,Denial of Service Protection,SC-05.00.02.01,"The organization defines security safeguards to be employed by the information system to protect against or limit the effects of organization-defined types of denial of service attacks as:
1) Employing boundary protection devices
2) Implementing service redundancy
3) Installing patches to guard against TCP SYN attacks
4) Disabling any unused or unneeded network services
5) Enabling system quotas
6) Using an application/tool to detect changes in configuration information or other files
7) Maintaining regular backup schedules and policies. and
8) Maintaining password policy"
1162,SC,Denial of Service Protection,SC-05.00.03.01,"The information system protects against or limits the effects of the following denial of service attacks (or reference to source for such information):
1) Hardware, software, or communications failures
2) Lack of communication bandwidth of web sites or internal networks and
3) Directed malicious attacks originating internally or externally to the networks

by employing the following security safeguards:
1) Employing boundary protection devices
2) Implementing service redundancy
3) Installing patches to guard against TCP SYN attacks
4) Disabling any unused or unneeded network services
5) Enabling system quotas
6) Using an application/tool to detect changes in configuration information or other files
7) Maintaining regular backup schedules and policies. and
8) Maintaining password policies"
1163,SC,Boundary Protection ,SC-07.00.01.01,The information system monitors communications at the external boundary of the information system. 
1164,SC,Boundary Protection ,SC-07.00.01.02,The information system monitors communications at key internal boundaries within the system.
1165,SC,Boundary Protection ,SC-07.00.01.03,The information system controls communications at the external boundary of the information system.
1166,SC,Boundary Protection ,SC-07.00.01.04,The information system controls communications at key internal boundaries within the system.
1167,SC,Boundary Protection ,SC-07.00.02.01,The information system implements subnetworks for publicly accessible system components that are physically separated from internal organizational networks.
1168,SC,Boundary Protection ,SC-07.00.03.01,The information system connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.
1169,SC,Access Points,SC-07.03.01.01,The organization limits the number of external network connections to the information system to allow for better monitoring of inbound and outbound communications and network traffic.
1170,SC,External Telecommunication Services,SC-07.04.01.01,The organization implements a managed interface for each external telecommunication service.
1171,SC,External Telecommunication Services,SC-07.04.02.01,The organization establishes a traffic flow policy for each managed interface. 
1172,SC,External Telecommunication Services,SC-07.04.03.01,The organization protects the confidentiality and integrity of the information being transmitted across each interface.
1173,SC,External Telecommunication Services,SC-07.04.04.01,"The organization documents each exception to the traffic flow policy with 
1) a supporting mission/business need
2) duration of that need"
1174,SC,External Telecommunication Services,SC-07.04.05.01,The organization defines a frequency to review exceptions to traffic flow policy as weekly.
1175,SC,External Telecommunication Services,SC-07.04.05.02,The organization reviews exceptions to the traffic flow policy weekly.
1176,SC,External Telecommunication Services,SC-07.04.05.03,The organization removes traffic flow policy exceptions that are no longer supported by an explicit mission/business need.
1177,SC,Deny by Default / Allow by Exception,SC-07.05.01.01,"The information system, at managed interfaces, denies network traffic by default."
1178,SC,Deny by Default / Allow by Exception,SC-07.05.02.01,"The information system, at managed interfaces, allows network traffic by exception."
1179,SC,Prevent Split Tunneling from Remote Devices,SC-07.07.01.01,"The information system, in conjunction with a remote device, prevents the device from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks."
1180,SC,Route Traffic to Authenticated Proxy Servers,SC-07.08.01.01,The organization defines the internal communications traffic to be routed to external networks as IT traffic. 
1181,SC,Route Traffic to Authenticated Proxy Servers,SC-07.08.02.01,The organization defines external networks to which IT traffic is destined for the system or application and all external networks.
1182,SC,Route Traffic to Authenticated Proxy Servers,SC-07.08.03.01,The information system routes IT traffic destined for the system or application and all external networks through authenticated proxy servers at managed interfaces.
1183,SC,Transmission Confidentiality & Integrity,SC-08.00.01.01,"The information system protects one or more of the following: confidentiality of transmitted information.

Any publically accessible systems and services must be compliant with OMB - m-15-13. For internal web sites and services, control can be met using HTTPs."
1184,SC,Transmission Confidentiality & Integrity,SC-08.00.02.01,"The information system protects one or more of the following: integrity of transmitted information.

Any publically accessible systems and services must be compliant with OMB - m-15-13. For internal web sites and services, control can be met using HTTPs."
1185,SC,Cryptographic or Alternate Physical Protection,SC-08.01.01.01,The organization defines physical safeguards to be implemented to protect information during transmission when cryptographic mechanisms are not implemented.
1186,SC,Cryptographic or Alternate Physical Protection,SC-08.01.02.01,The information system implements cryptographic mechanisms to do one or more of the following during transmission unless otherwise protected by organization-defined alternative physical safeguards: prevent unauthorized disclosure of information.
1187,SC,Cryptographic or Alternate Physical Protection,SC-08.01.02.02,The information system implements cryptographic mechanisms to do one or more of the following during transmission unless otherwise protected by organization-defined alternative physical safeguards: detect changes to information.
1188,SC,Network Disconnect ,SC-10.00.01.01,The organization defines a time period of inactivity after which the information system terminates a network connection associated with a communications session as 15 minutes.
1189,SC,Network Disconnect ,SC-10.00.02.01,The information system terminates the network connection associated with a communication session at the end of the session or after 15 minutes of inactivity.
1190,SC,Cryptographic Key Establishment and Management,SC-12.00.01.01,The organization defines requirements for cryptographic key generation in accordance with NIST.
1191,SC,Cryptographic Key Establishment and Management,SC-12.00.01.02,The organization defines requirements for cryptographic key distribution in accordance with NIST.
1192,SC,Cryptographic Key Establishment and Management,SC-12.00.01.03,The organization defines requirements for cryptographic key storage in accordance with NIST.
1193,SC,Cryptographic Key Establishment and Management,SC-12.00.01.04,The organization defines requirements for cryptographic key access in accordance with NIST.
1194,SC,Cryptographic Key Establishment and Management,SC-12.00.01.05,The organization defines requirements for cryptographic key destruction in accordance with NIST.
1195,SC,Cryptographic Key Establishment and Management,SC-12.00.02.01,The organization establishes and manages cryptographic keys for required cryptography employed within the information system in accordance with NIST.
1196,SC,Cryptographic Protection,SC-13.00.01.01,"The organization defines cryptographic uses as cryptographic mechanisms in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards."
1197,SC,Cryptographic Protection,SC-13.00.02.01,"The organization defines the type of cryptography required for each use in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards. "
1198,SC,Cryptographic Protection,SC-13.00.03.01,"The information system implements the cryptographic mechanisms in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards."
1199,SC,Collaborative Computing,SC-15.00.01.01,The organization defines exceptions where remote activation of collaborative computing devices is to be allowed as products approved by the Standards Working Group.
1200,SC,Collaborative Computing,SC-15.00.01.02,"The information system prohibits remote activation of collaborative computing devices, except for organization-defined exceptions where remote activation is to be allowed."
1201,SC,Collaborative Computing,SC-15.00.02.01,The information system provides an explicit indication of use to users physically present at the devices.
1202,SC,Public Key Infrastructure Certificates,SC-17.00.01.01,The organization defines a certificate policy for issuing public key certificates. 
1203,SC,Public Key Infrastructure Certificates,SC-17.00.02.01,The organization issues public key certificates through the TCO-managed Certificate Authority.
1204,SC,Public Key Infrastructure Certificates,SC-17.00.02.02,"The organization issues public key certificates from an industry accepted, and trusted, root certificate authority."
1205,SC,Mobile Code,SC-18.00.01.01,The organization defines acceptable and unacceptable mobile code and mobile code technologies.
1206,SC,Mobile Code,SC-18.00.02.01,The organization establishes usage restrictions for acceptable mobile code and mobile code technologies.
1207,SC,Mobile Code,SC-18.00.02.02,The organization establishes implementation guidance for acceptable mobile code and mobile code technologies.
1208,SC,Mobile Code,SC-18.00.03.01,The organization authorizes the use of mobile code within the information system.
1209,SC,Mobile Code,SC-18.00.03.02,The organization monitors the use of mobile code within the information system.
1210,SC,Mobile Code,SC-18.00.03.03,The organization controls the use of mobile code within the information system.
1211,SC,Voice Over Internet Protocol,SC-19.00.01.01,The organization establishes usage restrictions for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously.
1212,SC,Voice Over Internet Protocol,SC-19.00.01.02,The organization establishes implementation guidance for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously.
1213,SC,Voice Over Internet Protocol,SC-19.00.02.01,The organization authorizes the use of VoIP within the information system.
1214,SC,Voice Over Internet Protocol,SC-19.00.02.02,The organization monitors the use of VoIP within the information system.
1215,SC,Voice Over Internet Protocol,SC-19.00.02.03,The organization controls the use of VoIP within the information system.
1216,SC,Secure Name/Address Resolution Service (Authoritative Source),SC-20.00.01.01,The organization provides additional data origin and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries.
1217,SC,Secure Name/Address Resolution Service (Authoritative Source),SC-20.00.02.01,"The organization provides the means to, when operating as part of a distributed, hierarchical namespace indicate the security status of child zones."
1218,SC,Secure Name/Address Resolution Service (Authoritative Source),SC-20.00.02.02,"The organization provides the means to, when operating as part of a distributed, hierarchical namespace enable verification of a chain of trust among parent and child domains (if the child supports secure resolution services)."
1219,SC,Secure Name/Address Service (Recursive or Caching Resolver),SC-21.00.01.01,The information system requests data origin authentication on the name/address resolution responses the system receives from authoritative sources.
1220,SC,Secure Name/Address Service (Recursive or Caching Resolver),SC-21.00.02.01,The information system requests data integrity verification on the name/address resolution responses the system receives from authoritative sources.
1221,SC,Secure Name/Address Service (Recursive or Caching Resolver),SC-21.00.03.01,The information system performs data origin authentication on the name/address resolution responses the system receives from authoritative sources.
1222,SC,Secure Name/Address Service (Recursive or Caching Resolver),SC-21.00.04.01,The information system performs data integrity verification on the name/address resolution responses the system receives from authoritative sources.
1223,SC,Architecture and Provisioning For Name / Address Resolution Service,SC-22.00.01.01,The information systems that collectively provide name/address resolution service for an organization are fault tolerant.
1224,SC,Architecture and Provisioning For Name / Address Resolution Service,SC-22.00.02.01,The information systems that collectively provide name/address resolution service for an organization implement internal/external role separation.
1225,SC,Session Authenticity,SC-23.00.01.01,"The information system protects the authenticity of communications sessions (e.g., explicit session identifiers including tokens, cookies, unique urls, etc.)."
1226,SC,Protection of Information at Rest,SC-28.00.01.01,The organization defines information at rest requiring confidentiality protection as moderate information types.
1227,SC,Protection of Information at Rest,SC-28.00.01.02,The organization defines information at rest requiring integrity protection as moderate information types.
1228,SC,Protection of Information at Rest,SC-28.00.02.01,The information system protects the confidentiality of moderate information types.
1229,SC,Protection of Information at Rest,SC-28.00.02.02,The information system protects the integrity of moderate information types.
1230,SC,Cryptographic Protections,SC-28.01.01.01,"The organization defines information requiring cryptographic protection as sensitive data including sensitive PII, Title 13, and Title 26 that resides in Secure Configurations Working Group (SCWG) approved standard databases."
1231,SC,Cryptographic Protections,SC-28.01.02.01,The organization defines information system components as Secure Configurations Working Group (SCWG) approved standard databases requiring cryptographic protection.
1232,SC,Cryptographic Protections,SC-28.01.03.01,"The information system employs cryptographic mechanisms to prevent unauthorized disclosure and modification of sensitive data including personal identifiable information PII, Title 13, and Title 26 within Secure Configurations Working Group (SCWG) approved standard databases."
1233,SC,Process Isolation,SC-39.00.01.01,The information system maintains a separate execution domain for each executing process.
1234,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.01,"The organization develops and documents a system and information integrity policy that addresses: 
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities.
7) compliance"
1235,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.02,The organization defines personnel or roles to whom the system and information integrity policy is to be disseminated as Program Offices/System Owners.
1236,SI,System and Information Integrity Policy and Procedures ,SI-01.00.01.03,The organization disseminates the system and information integrity policy to Program Offices/System Owners.
1237,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls. 
1238,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as the Program Office/System Owners.
1239,SI,System and Information Integrity Policy and Procedures ,SI-01.00.02.03,The organization disseminates the procedures to Program Office/System Owners.
1240,SI,System and Information Integrity Policy and Procedures ,SI-01.00.03.01,"The organization defines the frequency to review and update the current system and information integrity policy as at least annually and as needed, respectively."
1241,SI,System and Information Integrity Policy and Procedures ,SI-01.00.03.02,"The organization reviews and updates the current system and information integrity policy at least annually and as needed, respectively."
1242,SI,System and Information Integrity Policy and Procedures ,SI-01.00.04.01,"The organization defines the frequency to review and update the current system and information integrity procedures as at least annually and as needed, respectively."
1243,SI,System and Information Integrity Policy and Procedures ,SI-01.00.04.02,"The organization reviews and updates the current system and information integrity procedures at least annually and as needed, respectively."
1244,SI,Flaw Remediation,SI-02.00.01.01,The organization identifies information system flaws.
1245,SI,Flaw Remediation,SI-02.00.01.02,The organization reports information system flaws.
1246,SI,Flaw Remediation,SI-02.00.01.03,The organization corrects information system flaws.
1247,SI,Flaw Remediation,SI-02.00.02.01,The organization tests software updates related to flaw remediation for effectiveness and potential side effects before installation. 
1248,SI,Flaw Remediation,SI-02.00.02.02,The organization tests firmware updates related to flaw remediation for effectiveness and potential side effects before installation.
1249,SI,Flaw Remediation,SI-02.00.03.01,The organization defines the time period within which to install security-relevant software updates after the release of the updates in accordance with the IT Security Scanning Policy.
1250,SI,Flaw Remediation,SI-02.00.03.02,The organization defines the time period within which to install security-relevant firmware updates after the release of the updates in accordance with the IT Security Scanning Policy.
1251,SI,Flaw Remediation,SI-02.00.03.03,The organization installs software updates in accordance with the IT Security Scanning Policy of the release of the updates.
1252,SI,Flaw Remediation,SI-02.00.03.04,The organization installs firmware updates in accordance with the IT Security Scanning Policy of the release of the updates.
1253,SI,Flaw Remediation,SI-02.00.04.01,The organization incorporates flaw remediation into the organizational configuration management process.
1254,SI,Automated Flaw Remediation Status,SI-02.02.01.01,The organization defines a frequency to employ automated mechanisms to determine the state of information system components with regard to flaw remediation as periodically and upon demand.
1255,SI,Automated Flaw Remediation Status,SI-02.02.02.01,The organization employs automated mechanisms periodically and upon demand to determine the state of information system components with regard to flaw remediation.
1256,SI,Malicious Code Protection,SI-03.00.01.01,"The organization employs malicious code protection mechanisms to detect and eradicate malicious code at information system: entry points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code:
1. Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means. or
2. Inserted through the exploitation of information system vulnerabilities"
1257,SI,Malicious Code Protection,SI-03.00.01.02,"The organization employs malicious code protection mechanisms to detect and eradicate malicious code at information system: exit points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code:
1. Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means. or
2. Inserted through the exploitation of information system vulnerabilities"
1258,SI,Malicious Code Protection,SI-03.00.02.01,The organization updates malicious code protection mechanisms whenever new releases are available in accordance with Census Bureau configuration management policy and procedures (as identified in CM-01.00.01.01 to CM-01.00.03.02).
1259,SI,Malicious Code Protection,SI-03.00.03.01,The organization defines a frequency for malicious code protection mechanisms to perform periodic scans of the information system as weekly.
1260,SI,Malicious Code Protection,SI-03.00.03.02,"The organization defines action to be initiated by malicious protection mechanisms in response to malicious code detection:
1) Block malicious code
2) Quarantine malicious code and/or
3) Send alert to administrator"
1261,SI,Malicious Code Protection,SI-03.00.03.03,"The organization configures malicious code protection mechanisms to:
1) perform periodic scans of the information system on a weekly basis
2) perform real-time scans of files from external sources at endpoint as endpoints as the files are downloaded, opened, or executed in accordance with Census Bureau security policy."
1262,SI,Malicious Code Protection,SI-03.00.03.04,"The organization configures malicious code protection mechanisms to do one or more of the following:
1) block malicious code in response to malicious code detection
2) quarantine malicious code in response to malicious code detection
3) send alert to administrator in response to malicious code detection"
1263,SI,Malicious Code Protection,SI-03.00.04.01,The organization addresses the receipt of false positives during malicious code detection and eradication.
1264,SI,Malicious Code Protection,SI-03.00.04.02,The organization addresses the resulting potential impact on the availability of the information system.
1265,SI,Central Management,SI-03.01.01.01,The organization centrally manages malicious code protection mechanisms.
1266,SI,Automatic Updates,SI-03.02.01.01,The information system automatically updates malicious code protection mechanisms.
1267,SI,Information System Monitoring Tools and Techniques,SI-04.00.01.01,"The organization: 
1) defines monitoring objectives to detect attacks and indicators of potential attacks on the information system using a network-based intrusion detection system (IDS) and system-level IDS (where applicable).
2) monitors the information system to detect, in accordance with organization-defined monitoring objectives:
  a) attacks
  b) indicators of potential attacks"
1268,SI,Information System Monitoring Tools and Techniques,SI-04.00.01.02,"The organization monitors the information system to detect unauthorized:
1) local connections
2) network connections
3) remote connections"
1269,SI,Information System Monitoring Tools and Techniques,SI-04.00.02.01,"The organization defines techniques and methods to identify unauthorized use of the information system through observing audit activities, reviewing logs, or by observing other system aspects such as access patterns, characteristics of access, etc."
1270,SI,Information System Monitoring Tools and Techniques,SI-04.00.02.02,"The organization identifies unauthorized use of the information system through observing audit activities, reviewing logs, or by observing other system aspects such as access patterns, characteristics of access, etc."
1271,SI,Information System Monitoring Tools and Techniques,SI-04.00.03.01,The organization deploys monitoring devices strategically within the information system to collect organization-determined essential information.
